"fips","pop_density","prop_gen_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","generalist_count","lat","US_L3NAME","broad_group","s_prop_gen_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01083",66.82838463,0.6947261663286,51,15.26774259,1443.011111,-1613.73809271533,0.411894187733072,63.3603427152288,49.5590515105314,1,34.81185467,"Interior Plateau","Oak / hickory group",-0.19939474696997,-0.124697217191165,0.275048411496292,-0.957916697439972,-0.202131360482671,-0.0351478832974058,1.22195986301071,0.631879055793881,1.214200695524,"High"
"01085",5.357339812,0.898483080513419,59,18.07788301,1383.288462,-1314.20452067694,0.353000823057775,133.102194901839,57.7171005264318,1,32.15901362,"Southeastern Plains","White / red / jack pine group",0.995877799120491,2.29996939930597,0.891716011657508,-0.29922387180613,-0.738563151497728,-0.221500554848544,1.0371907821134,1.28433223239252,1.74348506102252,"High"
"01087",11.69537155,0.896991497710922,63,17.81224697,1397.882353,-1297.36299865077,0.342720074968593,89.1254625014968,53.4994556290883,1,32.38765932,"Southeastern Plains","White / red / jack pine group",0.987127921938762,0.771060837078117,0.572903884872321,-0.262188324652268,-0.832205621084251,-0.202286481779684,1.08234115424082,1.22265735063801,2.00812724377178,"High"
"01089",177.1010636,0.747634069400631,67,15.19978415,1444.647541,-1573.22950866147,0.442076033227817,65.7428497574692,48.0560186343526,2,34.76314544,"Southwestern Appalachians","White / red / jack pine group",0.110971967535003,-0.041866246866022,0.161434032015355,-0.868835819088736,0.0727807883502343,0.299149482006904,1.22702262683843,0.616100591579382,2.27276942652104,"High"
"01091",7.563963066,0.889659270998415,69,17.71324879,1435.855072,-1290.24887989413,0.352443736624254,115.648510221472,58.308871596528,0,32.2475775,"Southeastern Plains","White / red / jack pine group",0.944115839005364,1.69316924627708,0.936448035813015,-0.246543938102151,-0.743637388212365,-0.214811061613034,1.19982061146988,1.19967213731601,2.40509051789567,"High"
"01093",15.5087218,0.88015526443474,50,15.55347616,1506.776786,-1278.86143016176,0.271559339336496,104.948065348807,59.6103380352946,1,34.13704658,"Southeastern Plains","White / red / jack pine group",0.888363727873958,1.32115429899697,1.03482599161106,-0.221502232793683,-1.48037508933483,-0.190726112035658,1.41923720016544,0.698220144687713,1.14804014983669,"High"
"01095",65.59871156,0.764600179694519,52,15.21660224,1428.420455,-1251.29527310565,0.424166620112592,65.7130952901222,43.3295771090243,1,34.36846438,"Southwestern Appalachians","Oak / hickory group",0.21049804216839,-0.0429006998007519,-0.1958380739803,-0.160882550800814,-0.0903475811426108,-0.0388757012059423,1.17681949928021,0.620005384438389,1.28036124121132,"High"
"01097",130.015283,0.809074219774456,49,19.22932829,1651.722222,-1157.09230052663,0.484455773978909,73.6693685631365,51.8731390994559,3,30.7846079,"Southeastern Plains","White / red / jack pine group",0.471390288863183,0.233709536262206,0.449970483825546,0.0462756043565966,0.458797793138515,0.156406487596121,1.86766732572769,1.55167265611965,1.08187960414937,"High"
"01099",7.907487227,0.882850041425021,69,18.11935328,1508.28,-1200.8645057337,0.351362221001618,122.458950541945,68.2854059474535,1,31.56726836,"Southeastern Plains","White / red / jack pine group",0.904171745811438,1.92994310259097,1.69057509292192,-0.0499821784884398,-0.753488402255458,-0.213769650240667,1.42388782222964,1.2939607225574,2.40509051789567,"High"
"01101",111.3303325,0.824392288348701,59,18.2543463,1381.267241,-1382.88727035303,0.431884201613303,66.7347595993152,47.7910765611847,3,32.22380149,"Southeastern Plains","White / red / jack pine group",0.561248671824944,-0.00738120517737172,0.141407038781587,-0.450261480540844,-0.0200517831430173,0.0997620877199667,1.03093755737013,1.32530315088974,1.74348506102252,"High"
