"fips","pop_density","prop_spec_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","specialist_count","lat","US_L3NAME","broad_group","s_prop_spec_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01049",35.49104685,0.0251778872468528,46,14.60705408,1477.157895,823.519279210623,0.215946614117565,-55.3453295803847,-33.1362114507573,1,34.45782868,"Southwestern Appalachians","White / red / jack pine group",-1.09493776941664,-0.841319703681805,-0.0404491705254605,0.0663464672951247,2.25840619353789,-0.187521852296902,1.34500626652547,0.546516778853327,0.868051972885619,"High"
"01051",50.89186216,0.0143712574850299,59,17.72557811,1422.229167,828.038974199623,-0.133409775942293,-47.1013672032642,-35.8920107891993,0,32.60089022,"Southeastern Plains","White / red / jack pine group",-1.15228840723165,-0.294650325341751,-0.331947086874754,0.081084854162047,-0.310982296948462,-0.103577477173879,1.17453469891258,1.27894172661773,1.72140700163495,"High"
"01053",15.01881593,0.00126422250316056,49,18.49260468,1629.465116,780.037992410211,0.062485131142531,-44.8709263957041,-31.3358391675519,0,31.12599866,"Southeastern Plains","White / red / jack pine group",-1.2218472644,-0.146746485669079,0.149987325298686,-0.0754427525296119,1.12975310658145,-0.299108712950816,1.81769244856546,1.45908765144043,1.06498005644316,"High"
"01055",74.11772642,0.0514193893947509,54,15.64160254,1414.371795,867.819352712948,-0.179556052329254,-42.8146638459627,-39.9061719452386,1,34.04369385,"Southwestern Appalachians","White / red / jack pine group",-0.95567447285007,-0.0103926647333141,-0.756549704544755,0.210805689233644,-0.650371284243484,0.0230184609471304,1.15014930768055,0.789493614845591,1.39319352903905,"High"
"01057",10.0916947,0.0141509433962264,57,15.99524816,1508.26087,805.886521176125,-0.100044102759136,-76.161305972574,-41.3015453879439,0,33.72072771,"Southeastern Plains","White / red / jack pine group",-1.15345761111769,-2.22165798681624,-0.904146971662068,0.00884736390966235,-0.0655899723957486,-0.325964701058093,1.44153449681099,0.872551777060749,1.59012161259659,"High"
"01059",19.23871399,0.0535663941358895,64,15.28709354,1476.94898,900.514073550295,-0.0808640082896075,-58.0989816529588,-39.4527858082532,0,34.44262569,"Southeastern Plains","White / red / jack pine group",-0.944280347761123,-1.02391845872424,-0.708592252639852,0.317420725287983,0.0754726083345017,-0.27610754719438,1.34435789783308,0.706232676879687,2.04962047423084,"High"
"01061",17.73160191,0.0114090131203651,49,18.74686086,1388.294118,931.378254274,-0.397886032277439,-45.2507018953588,-24.28629249381,1,31.09525669,"Southeastern Plains","Oak / gum / cypress group",-1.16800899796361,-0.17192996259532,0.89566141627391,0.418066507125846,-2.25610844425612,-0.284322279937381,1.06921711354905,1.51880294225231,1.06498005644316,"High"
"01063",4.905769199,0.0537634408602151,67,17.20161903,1408.967033,851.043971646816,-0.0056995096006851,-67.1817506712763,-47.3480377663258,0,32.8566071,"Southeastern Plains","White / red / jack pine group",-0.943234623463308,-1.62621035013681,-1.54372181476972,0.156102427930739,0.62828000879855,-0.354231339340115,1.13337560320455,1.1558832867571,2.24654855778838,"High"
"01065",8.845712703,0.0274402195217562,57,17.2964011,1423.384615,873.199713397073,0.0211759762773924,-65.0246620969601,-45.4280515821412,0,32.76023789,"Southeastern Plains","White / red / jack pine group",-1.08293160266764,-1.483170605897,-1.34063301788161,0.228350642474783,0.825939379161088,-0.332756106451078,1.17812063725536,1.1781440588406,1.59012161259659,"High"
"01067",11.76871131,0.0150788211103496,51,18.41310035,1363.60241,742.769140693071,-0.212899530883322,-57.8660027434297,-32.6134654987929,0,31.51140274,"Southeastern Plains","White / red / jack pine group",-1.14853337665309,-1.00846928151886,0.014844897388715,-0.196973686813898,-0.895600375415745,-0.316823879058496,0.99258628077608,1.44041505049616,1.19626544548151,"High"
"01071",18.54017626,0.0955920041004613,68,14.65756782,1493.912791,926.346691975321,-0.0406371745642453,-56.1799165366938,-36.856766915416,0,34.77938554,"Southwestern Appalachians","Oak / hickory group",-0.721251004741746,-0.896662403187862,-0.433995300855522,0.40165895929719,0.37132625957284,-0.279915028296152,1.39700516565,0.55838057179671,2.31219125230756,"High"
"01073",228.7769456,0.0415671285236503,64,16.30977199,1451.889571,852.197402606389,0.0226419174804593,-58.9014689607059,-38.8045698245457,0,33.55705539,"Southwestern Appalachians","White / red / jack pine group",-1.00796028788498,-1.07713258290188,-0.640026444542274,0.159863679906336,0.8367208406201,0.866010942173097,1.26658590326436,0.946421690373045,2.04962047423084,"High"
"01075",8.843667303,0.011979308467193,49,16.1187119,1499.82716,878.400989498778,-0.0701385755869901,-61.5122237058762,-50.4589975802415,0,33.77977028,"Southeastern Plains","White / red / jack pine group",-1.16498244828028,-1.25025560412061,-1.87278724814612,0.24531161430478,0.154354243609212,-0.332767255200116,1.41536043786514,0.901548803362419,1.06498005644316,"High"
"01077",53.6774678,0.0965978128797084,56,15.22175001,1448.490385,917.320810208017,0.015870314540414,-58.7744457378807,-42.1932384256714,2,34.90188562,"Interior Plateau","Oak / hickory group",-0.715913191169791,-1.06870948450816,-0.998466851522294,0.372226234826758,0.78691817734746,-0.0883941300534745,1.25603651340724,0.690885919539807,1.52447891807741,"High"
"01079",18.43012861,0.0797235023041475,63,15.43396959,1457.394231,940.891640800177,0.0160230376335635,-58.6639160247186,-40.5142936653025,0,34.52033016,"Interior Plateau","White / red / jack pine group",-0.805464928901734,-1.06138009521472,-0.820874494747222,0.44908894810441,0.788041399847277,-0.280514858956222,1.2836696416567,0.740728381326477,1.98397777971166,"High"
"01081",103.8818448,0.00942760942760943,41,17.21693478,1401.413043,879.982320208001,-0.0813851780342352,-65.3701943876662,-34.956205814961,2,32.60162662,"Piedmont","White / red / jack pine group",-1.17852428053117,-1.50608336482479,-0.232961215046369,0.250468215317414,0.0716395954527088,0.185252100413896,1.10993175944702,1.15948038502725,0.539838500289723,"High"
"01083",66.82838463,0.107505070993915,51,15.26774259,1443.011111,1065.44059568621,-0.0700491132076251,-47.1049943758078,-38.7689464610015,1,34.81185467,"Interior Plateau","Oak / hickory group",-0.658028520051275,-0.294890848535433,-0.636258341363775,0.855233762178992,0.155012206693364,-0.0167131525618227,1.23903156058619,0.70168786067606,1.19626544548151,"High"
