"fips","pop_density","prop_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","Total_pests","lat","US_L3NAME","broad_group","s_prop_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01099",7.907487227,0.882850041425021,69,18.11935328,1508.28,-1200.8645057337,0.495146029130424,93.9412533360584,35.2036957977051,1,31.56726836,"Southeastern Plains","White / red / jack pine group",0.81792085033161,1.85468061593718,1.64313973643285,-0.0516139085296689,-0.850597269832081,-0.2134406915997,1.42332474433434,1.29188561482966,2.40698916354734,"High"
"01101",111.3303325,0.824392288348701,59,18.2543463,1381.267241,-1382.88727035303,0.587847801803202,46.5485534488525,24.7314399648392,4,32.22380149,"Southeastern Plains","White / red / jack pine group",0.462399651492536,-0.0181011186707282,0.191365929131738,-0.456466743213203,-0.10772041447208,0.0997423216881058,1.02910896433169,1.32323920661885,1.74356618661043,"High"
"01103",79.49711788,0.833672431332655,59,15.45150345,1455.810526,-1272.86236713696,0.565149925147286,51.0863300280774,25.1202935110202,4,34.45514922,"Interior Plateau","Oak / hickory group",0.518838487838947,0.161214791026962,0.245272881199317,-0.211750682307506,-0.289612591367285,0.00334561116430691,1.2604726436313,0.672248580821003,1.74356618661043,"High"
"01105",4.884287348,0.918367346938776,60,17.34238524,1410.735849,-1285.41722967492,0.496743272202636,74.5627383278223,28.3872938942034,3,32.6404135,"Southeastern Plains","White / red / jack pine group",1.03392564646701,1.08891438954317,0.69817869828821,-0.239675055932888,-0.837797569497129,-0.222595485643291,1.12057213999825,1.11142636768189,1.80990848430412,"High"
"01107",8.782500556,0.894140905823149,56,16.67805056,1448.242424,-1226.57055243978,0.474200527379734,77.227113103041,30.3720020303593,1,33.28082805,"Southeastern Plains","White / red / jack pine group",0.886588245766929,1.19420048687578,0.973319731241758,-0.108788987148152,-1.01844657870575,-0.210790993553588,1.23698315126408,0.957127438980832,1.54453929352935,"High"
"01109",19.11589839,0.864347826086956,54,18.03359042,1373.457447,-1397.03862384035,0.441002902764646,68.2648345642948,26.2328507302561,2,31.80413807,"Southeastern Plains","White / red / jack pine group",0.705396344478987,0.840044855570134,0.399507217696463,-0.487942012726508,-1.28447975443078,-0.179499602733588,1.00486932055409,1.27196626119854,1.41185469814197,"High"
"01111",15.11819796,0.878721403948605,43,15.99151626,1440.085366,-1295.57031808587,0.421828969571131,89.9458898134073,31.5845491115764,1,33.29523169,"Piedmont","White / red / jack pine group",0.792811808879554,1.69679883570209,1.14141570986613,-0.262257432552439,-1.43813238463408,-0.191605360060071,1.2116656870399,0.797672407961634,0.682089423511364,"High"
"01113",34.88869599,0.912314635718891,58,17.74304836,1316.023256,-1208.71781718036,0.432150306651135,93.5263346446262,30.9365351374023,1,32.28722368,"Southeastern Plains","White / red / jack pine group",0.997115009111328,1.8382845855673,1.05158122439467,-0.0690811490008385,-1.35542110293973,-0.131736729189475,0.826607982227547,1.20448471921341,1.67722388891674,"High"
"01115",54.36556376,0.858502148557397,57,15.95195833,1416.354167,-1363.3181979219,0.494718887207148,70.4696383605164,28.760353506434,2,33.71767427,"Ridge and Valley","White / red / jack pine group",0.669844819249782,0.927170431614234,0.749896129779766,-0.412941448657662,-0.854020223240704,-0.0727572636611833,1.13800999136146,0.788484650037222,1.61088159122304,"High"
"01117",106.3521688,0.880116959064328,58,16.57741442,1449.286957,-1225.31483976463,0.447711302759553,94.3627330150035,29.6545850101134,2,33.26516355,"Ridge and Valley","White / red / jack pine group",0.801299124961308,1.87133591192402,0.873863868481387,-0.105996046181973,-1.23072118057583,0.0846675448910591,1.24022511998105,0.933753604890747,1.67722388891674,"High"
